<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Gold.Coin.140012,20210622,1038900.00,1038999.00,1035102.00,1037715.00,57385615900,55300,198,D,1029982.00,1037001.00
Gold.Coin.140012,20210621,1035002.00,1035002.00,1027100.00,1029982.00,119065879000,115600,296,D,1026623.00,1033500.00
Gold.Coin.140012,20210620,1027000.00,1032000.00,1022120.00,1026623.00,94346616500,91900,326,D,1034784.00,1027000.00
Gold.Coin.140012,20210619,1050000.00,1050000.00,1022100.00,1034784.00,143731484200,138900,528,D,1067477.00,1033859.00
Gold.Coin.140012,20210616,1067200.00,1075000.00,1064000.00,1067477.00,156598953000,146700,302,D,1063738.00,1073000.00
Gold.Coin.140012,20210615,1065803.00,1067900.00,1061009.00,1063738.00,98714869000,92800,221,D,1059775.00,1063000.00
Gold.Coin.140012,20210614,1061000.00,1062300.00,1056000.00,1059775.00,113501904000,107100,334,D,1067555.00,1056012.00
Gold.Coin.140012,20210613,1068889.00,1074499.00,1063601.00,1067555.00,115936507100,108600,260,D,1053440.00,1065000.00
Gold.Coin.140012,20210612,1045000.00,1057900.00,1045000.00,1053440.00,96916441500,92000,276,D,1078822.00,1055502.00
Gold.Coin.140012,20210609,1070109.00,1081000.00,1070100.00,1078822.00,64837187600,60100,212,D,1070175.00,1078998.00
Gold.Coin.140012,20210608,1074400.00,1075000.00,1067000.00,1070175.00,101345553600,94700,231,D,1085177.00,1070202.00
Gold.Coin.140012,20210607,1089000.00,1089500.00,1081000.00,1085177.00,125120880400,115300,324,D,1087477.00,1089000.00
Gold.Coin.140012,20210602,1080012.00,1092000.00,1080012.00,1087477.00,85693189000,78800,286,D,1080098.00,1085000.00
Gold.Coin.140012,20210601,1078000.00,1083500.00,1072200.00,1080098.00,115678480800,107100,263,D,1061940.00,1082000.00
Gold.Coin.140012,20210531,1074599.00,1074599.00,1055001.00,1061940.00,269414149200,253700,420,D,1078476.00,1067990.00
Gold.Coin.140012,20210530,1089999.00,1089999.00,1073000.00,1078476.00,220009095200,204000,485,D,1076167.00,1076500.00
Gold.Coin.140012,20210529,1065100.00,1084000.00,1065100.00,1076167.00,167451532000,155600,510,D,1041794.00,1083801.00
Gold.Coin.140012,20210526,1032000.00,1050699.00,1032000.00,1041794.00,147413899100,141500,478,D,1014798.00,1044000.00
Gold.Coin.140012,20210525,1015000.00,1019800.00,1007730.00,1014798.00,67382570200,66400,199,D,1021151.00,1013102.00
Gold.Coin.140012,20210524,1015502.00,1022499.00,1015502.00,1021151.00,109365264900,107100,295,D,1008603.00,1018100.00
Gold.Coin.140012,20210523,1000111.00,1013900.00,1000111.00,1008603.00,226633017000,224700,295,D,996009.00,1010105.00
Gold.Coin.140012,20210522,993555.00,999980.00,991002.00,996009.00,278185451900,279300,386,D,994691.00,997500.00
Gold.Coin.140012,20210519,988887.00,998900.00,982170.00,994691.00,124634740800,125300,326,D,1018928.00,994500.00
Gold.Coin.140012,20210518,1017778.00,1023000.00,1017000.00,1018928.00,287337764400,282000,408,D,1001472.00,1018000.00
Gold.Coin.140012,20210517,998996.00,1009999.00,992223.00,1001472.00,182968922000,182700,501,D,1024873.00,1002000.00
Gold.Coin.140012,20210516,1030111.00,1038000.00,1015000.00,1024873.00,307871829300,300400,614,D,1019012.00,1020000.00
Gold.Coin.140012,20210515,1012000.00,1028999.00,1012000.00,1019012.00,139298884200,136700,369,D,1000382.00,1022000.00
Gold.Coin.140012,20210512,998990.00,1008000.00,989102.00,1000382.00,114543744400,114500,370,D,991449.00,1007000.00
Gold.Coin.140012,20210511,1001000.00,1001000.00,982000.00,991449.00,156549746400,157900,439,D,974096.00,987500.00
Gold.Coin.140012,20210510,969111.00,981998.00,967000.00,974096.00,133743405400,137300,427,D,937997.00,980500.00
Gold.Coin.140012,20210509,930200.00,942000.00,930100.00,937997.00,78697916600,83900,237,D,935359.00,941501.00
Gold.Coin.140012,20210508,924500.00,938978.00,924500.00,935359.00,96716127800,103400,422,D,906348.00,938978.00
Gold.Coin.140012,20210505,909999.00,914399.00,903800.00,906348.00,152719704800,168500,606,D,933821.00,904001.00
Gold.Coin.140012,20210503,936900.00,936900.00,927520.00,933821.00,100105652700,107200,366,D,931473.00,934578.00
Gold.Coin.140012,20210502,940999.00,940999.00,928300.00,931473.00,134597913000,144500,464,D,957818.00,931030.00
Gold.Coin.140012,20210501,959980.00,965000.00,953000.00,957818.00,132657777900,138500,454,D,984942.00,961600.00
Gold.Coin.140012,20210428,981000.00,989780.00,980200.00,984942.00,90023683200,91400,244,D,985396.00,983400.00
Gold.Coin.140012,20210427,986111.00,992000.00,983011.00,985396.00,105338856800,106900,283,D,983069.00,985000.00
Gold.Coin.140012,20210426,994599.00,994599.00,978710.00,983069.00,111283432200,113200,454,D,1001189.00,983400.00
Gold.Coin.140012,20210425,1000000.00,1005000.00,1000000.00,1001189.00,78793583000,78700,202,D,990472.00,1003000.00
Gold.Coin.140012,20210424,997990.00,997990.00,985301.00,990472.00,56555960900,57100,248,D,1001377.00,992000.00
Gold.Coin.140012,20210421,1007900.00,1007950.00,999101.00,1001377.00,147903357400,147700,473,D,991012.00,1000000.00
Gold.Coin.140012,20210420,998990.00,998990.00,980012.00,991012.00,131903681600,133100,494,D,1013623.00,995880.00
Gold.Coin.140012,20210419,1029999.00,1029999.00,1005250.00,1013623.00,142008644300,140100,537,D,1026575.00,1010000.00
Gold.Coin.140012,20210418,1035000.00,1035000.00,1021000.00,1026575.00,124626185800,121400,410,D,1044081.00,1025400.00
Gold.Coin.140012,20210417,1045000.00,1048900.00,1041010.00,1044081.00,103572866700,99200,320,D,1038926.00,1045500.00
Gold.Coin.140012,20210414,1042222.00,1042222.00,1035200.00,1038926.00,96308407800,92700,289,D,1035535.00,1042198.00
Gold.Coin.140012,20210413,1039000.00,1039000.00,1031111.00,1035535.00,77872203700,75200,299,D,1041734.00,1036000.00
Gold.Coin.140012,20210412,1044444.00,1045000.00,1038300.00,1041734.00,91672576300,88000,284,D,1032512.00,1042400.00
Gold.Coin.140012,20210411,1034000.00,1037000.00,1030000.00,1032512.00,108413752800,105000,395,D,1029066.00,1032999.00
Gold.Coin.140012,20210410,1050000.00,1050000.00,1020192.00,1029066.00,568558846000,552500,1064,D,1074726.00,1020192.00
Gold.Coin.140012,20210407,1077777.00,1077777.00,1070001.00,1074726.00,36863100400,34300,166,D,1077146.00,1072000.00
Gold.Coin.140012,20210406,1075660.00,1081000.00,1073000.00,1077146.00,63120786300,58600,231,D,1067908.00,1077558.00
Gold.Coin.140012,20210405,1069000.00,1073999.00,1065009.00,1067908.00,124624862000,116700,379,D,1066926.00,1072700.00
Gold.Coin.140012,20210404,1059548.00,1071000.00,1056010.00,1066926.00,56760459200,53200,245,D,1059548.00,1070900.00
Gold.Coin.140012,20210403,1060920.00,1072900.00,1053311.00,1059548.00,245179422700,231400,651,D,1102755.00,1059990.00
Gold.Coin.140012,20210331,1092111.00,1107999.00,1092111.00,1102755.00,74325661700,67400,237,D,1109311.00,1106220.00
Gold.Coin.140012,20210330,1115554.00,1115554.00,1101112.00,1109311.00,153084957200,138000,389,D,1119773.00,1109900.00
Gold.Coin.140012,20210328,1112000.00,1124900.00,1112000.00,1119773.00,179163655700,160000,422,D,1098374.00,1122000.00
Gold.Coin.140012,20210327,1101010.00,1108800.00,1096000.00,1098374.00,232635707900,211800,478,D,1088816.00,1097000.00
Gold.Coin.140012,20210317,1080001.00,1094000.00,1079001.00,1088816.00,245201466900,225200,697,D,1070735.00,1091000.00
